county,cases,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,index_right,ALAND,AWATER
Coosa,92574,17342.73076923077,5877.576923076923,85.1923076923077,3.4615384615384617,1.1923076923076923,982.0,1685850815.0,39987271.0
Covington,531512,17737.114285714284,5514.171428571429,70.62857142857143,3.1857142857142855,1.1571428571428573,3119.0,2669134207.0,34226200.0
Crenshaw,191650,14441.763157894737,6056.289473684211,72.21052631578948,4.2894736842105265,1.105263157894737,2137.0,1576952799.0,5388562.0
Cullman,1076914,32255.719101123595,8043.044943820225,58.10861423220974,3.5730337078651684,1.3295880149812733,1449.0,1902970816.0,52525039.0
Dale,586405,25126.830985915494,7296.232394366197,45.0,3.3450704225352115,1.3028169014084507,1934.0,1453244559.0,4082940.0
Dallas,570350,34651.77272727273,6139.727272727273,62.06818181818182,2.3181818181818183,1.2272727272727273,1537.0,2534919607.0,39124778.0
DeKalb,1149199,18473.625,5719.848684210527,132.21052631578948,1.9605263157894737,1.105263157894737,45.0,2012676480.0,4121543.0
Elmore,1149953,31793.54054054054,8769.827027027028,45.05945945945946,2.502702702702703,1.3027027027027027,2927.0,1601768864.0,99957936.0
Escambia,528953,49147.370689655174,9732.129310344828,59.94827586206897,4.879310344827586,1.5086206896551724,795.0,2448115116.0,20504948.0
Etowah,1627604,20729.222826086956,5887.527173913043,52.90217391304348,2.5,1.3858695652173914,3080.0,1385871922.0,35067763.0
Fayette,230310,39183.625,5894.666666666667,61.833333333333336,2.7083333333333335,1.0,480.0,1625693288.0,4330881.0
Franklin,641131,25127.98305084746,7885.3050847457625,55.6271186440678,2.7457627118644066,1.2033898305084745,2505.0,1641841404.0,32643981.0
Geneva,288228,19986.34,6886.84,45.18,3.84,1.18,1870.0,1487897665.0,11578163.0
Greene,126235,30941.28947368421,5921.6578947368425,52.05263157894737,1.894736842105263,1.2105263157894737,257.0,1675782059.0,33416141.0
Hale,275676,34547.833333333336,4777.555555555556,60.5,1.7222222222222223,1.0,245.0,1667917734.0,32412739.0
Henry,224848,24256.152777777777,6087.402777777777,65.98611111111111,2.361111111111111,1.0833333333333333,3180.0,1454926622.0,16986823.0
Houston,1263867,35302.80508474576,10701.194915254237,41.983050847457626,2.707627118644068,1.444915254237288,2061.0,1501819549.0,4718092.0
Jackson,801508,25167.387096774193,6334.4731182795695,41.913978494623656,2.150537634408602,1.118279569892473,1207.0,2791974032.0,126334709.0
Jefferson,8795619,46947.2627852085,11048.480723839497,37.96459480723839,2.7828481510621557,1.6058221872541305,2980.0,2878552100.0,32849845.0
Lamar,167917,23259.8125,4470.625,67.71875,2.46875,1.0625,2461.0,1566544637.0,1600679.0
Lauderdale,1006360,30370.49819494585,8412.844765342961,61.34657039711191,2.808664259927798,1.3862815884476534,1708.0,1730146078.0,133608951.0
Lawrence,329189,34365.841584158414,9864.39603960396,49.18811881188119,2.633663366336634,1.1386138613861385,2293.0,1788864251.0,68682382.0
Lee,2002560,33573.76323119777,7767.395543175488,54.91643454038997,2.4763231197771587,1.309192200557103,449.0,1573514768.0,21526461.0
Limestone,1103618,37770.608695652176,10921.71906354515,47.374581939799334,2.5451505016722407,1.4013377926421404,810.0,1450277886.0,122329712.0
Lowndes,224284,21060.96153846154,4922.0,91.1923076923077,4.076923076923077,1.6923076923076923,951.0,1854201377.0,23721835.0
Macon,190901,33042.125,7426.9375,50.770833333333336,2.25,1.25,1368.0,1576855716.0,11345392.0
Madison,3710428,42791.795739348374,12070.161654135338,42.734335839599,2.6854636591478696,1.5714285714285714,2123.0,2076111961.0,28810665.0
Marengo,320264,44341.38,9088.54,42.22,2.24,1.18,32.0,2530140237.0,14966620.0
Marion,371843,28665.58904109589,8655.986301369863,38.47945205479452,2.643835616438356,1.2602739726027397,937.0,1922657342.0,3183332.0
Marshall,1611743,29074.442211055277,7965.08040201005,40.70854271356784,2.1055276381909547,1.2462311557788945,773.0,1465531863.0,148495459.0
